family,glottocode
Austronesian,buch1237
Sign Language,buda1244
Austroasiatic,buda1251
Austronesian,buda1252
Indo-European,budd1234
Austroasiatic,bude1236
Austroasiatic,budi1247
Atlantic-Congo,budi1248
Austronesian,budi1249
Atlantic-Congo,budj1234
Atlantic-Congo,budo1240
Austronesian,budo1241
Nakh-Daghestanian,budu1248
Nakh-Daghestanian,budu1249
Atlantic-Congo,budu1250
Afro-Asiatic,budu1264
Afro-Asiatic,budu1265
Atlantic-Congo,budy1238
Atlantic-Congo,budz1238
Yokutsan,buen1244
Mayan,buen1245
Austronesian,buen1246
Atlantic-Congo,bufe1238
Atlantic-Congo,bufu1238
Austroasiatic,buga1247
Khoe-Kwadi,buga1248
Austronesian,buga1249
Austronesian,buga1250
Bookkeeping,buga1251
Atlantic-Congo,buge1238
Austronesian,bugh1239
Austronesian,bugi1243
Austronesian,bugi1244
Austronesian,bugi1245
Eastern Trans-Fly,bugl1238
Chibchan,bugl1243
Atlantic-Congo,bugo1238
Sino-Tibetan,bugu1245
Sino-Tibetan,bugu1246
Atlantic-Congo,bugu1247
Afro-Asiatic,bugu1248
Atlantic-Congo,buha1234
Austronesian,buhi1243
Austronesian,buhi1244
Austronesian,buhi1245
Austronesian,buhu1237
Turkic,buin1246
South Bougainville,buin1247
Sino-Tibetan,bujh1238
Atlantic-Congo,buji1242
Atlantic-Congo,buji1243
Atlantic-Congo,buka1254
Atlantic-Congo,buka1255
Austronesian,buka1257
Austronesian,buka1258
Austronesian,buka1259
Austronesian,buka1260
Austronesian,buka1261
Austronesian,buka1262
Austronesian,buka1263
Indo-European,bukh1238
Atlantic-Congo,buki1246
Austronesian,buki1247
Austronesian,buki1248
Nuclear Torricelli,buki1249
Nuclear Torricelli,buki1250
Austronesian,buki1251
Austronesian,buki1252
Sino-Tibetan,bukp1238
Indo-European,buks1238
Atlantic-Congo,buku1248
Atlantic-Congo,buku1249
Austronesian,buku1250
Atlantic-Congo,buku1251
Atlantic-Congo,bukw1238
Mongolic,bula1254
Pama-Nyungan,bula1255
Austronesian,bula1256
Austronesian,bula1257
NA,bula1259
Austroasiatic,bula1260
Koman,buld1238
Austroasiatic,bule1241
Atlantic-Congo,bule1242
Sign Language,bulg1240
Indo-European,bulg1262
Turkic,bulg1263
Eastern Trans-Fly,bulg1264
Nuclear Trans New Guinea,bulg1265
Atlantic-Congo,buli1253
Atlantic-Congo,buli1254
Austronesian,buli1255
Austronesian,buli1256
Afro-Asiatic,buli1260
Atlantic-Congo,bull1245
Atlantic-Congo,bull1246
Atlantic-Congo,bull1247
Dizoid,bull1248
Austroasiatic,bulo1242
Austroasiatic,bulo1243
Austronesian,bulo1244
Atlantic-Congo,bulu1250
Atlantic-Congo,bulu1251
Mande,bulu1252
Austronesian,bulu1253
Austronesian,bulu1254
Sino-Tibetan,bulu1255
Atlantic-Congo,buma1244
Khoe-Kwadi,buma1245
Austronesian,buma1246
Bookkeeping,buma1247
Atlantic-Congo,bumb1240
Nuclear Torricelli,bumb1241
Sino-Tibetan,bumd1238
Atlantic-Congo,bumm1238
Ijoid,bumo1235
Sino-Tibetan,bumt1238
Sino-Tibetan,bumt1240
Atlantic-Congo,bumw1238
Austroasiatic,buna1272
Hmong-Mien,buna1273
NA,buna1274
Bunaban,buna1275
Austronesian,buna1276
Nuclear Torricelli,buna1277
Timor-Alor-Pantar,buna1278
Austronesian,buna1279
Indo-European,bund1252
Indo-European,bund1253
Atlantic-Congo,bund1254
Mande,bund1255
Austronesian,bund1256
Austronesian,bund1257
Ndu,bund1258
Atlantic-Congo,bung1259
Sino-Tibetan,bung1263
Pama-Nyungan,bung1264
Atlantic-Congo,bung1265
Central Sudanic,bung1266
Mande,bung1267
Austronesian,bung1268
Austronesian,bung1269
Nuclear Torricelli,bung1270
Austronesian,buni1245
Austronesian,buni1246
Yareban,buni1247
Indo-European,bunj1244
Indo-European,bunj1245
Atlantic-Congo,bunj1246
Indo-European,bunj1247
Yuat,bunm1234
Yuat,bunn1240
Austroasiatic,buno1240
Dogon,buno1241
Hmong-Mien,bunu1265
Atlantic-Congo,bunu1266
Austronesian,bunu1267
Austronesian,buol1237
Maningrida,bura1267
Atlantic-Congo,bura1268
Bookkeeping,bura1269
Atlantic-Congo,bura1270
Atlantic-Congo,bura1271
Atlantic-Congo,bura1272
Nilotic,bura1273
Austronesian,bura1274
Geelvink Bay,bura1276
Afro-Asiatic,bura1292
Afro-Asiatic,bura1293
Geelvink Bay,bura1294
Sign Language,bura1295
Afro-Asiatic,bura1296
Afro-Asiatic,bura1297
Narrow Talodi,bura1298
Pama-Nyungan,burd1238
Indo-European,burd1239
Maningrida,bure1237
Maningrida,bure1238
Afro-Asiatic,bure1242
Indo-European,burg1244
Dravidian,burg1245
Austroasiatic,buri1257
Mongolic,buri1258
Afro-Asiatic,burj1242
Sign Language,burk1234
Dravidian,burm1258
Sino-Tibetan,burm1262
Austronesian,burm1263
NA,burm1264
Sino-Tibetan,burm1265
Sino-Tibetan,burm1266
Austronesian,burn1237
Austroasiatic,buru1295
NA,buru1296
Atlantic-Congo,buru1297
Atlantic-Congo,buru1298
Atlantic-Congo,buru1299
Central Sudanic,buru1300
Nilotic,buru1301
Austronesian,buru1303
Austronesian,buru1304
Austronesian,buru1305
Nuclear Trans New Guinea,buru1306
Nuclear Trans New Guinea,buru1307
Nuclear Trans New Guinea,buru1308
Ndu,buru1309
Afro-Asiatic,buru1318
Afro-Asiatic,buru1320
Austronesian,buru1321
Austronesian,buru1322
Pidgin,buru1323
Turkic,burz1239
Atlantic-Congo,busa1251
Mande,busa1252
Mande,busa1253
Austronesian,busa1254
Austronesian,busa1255
Central Sudanic,buse1238
Atlantic-Congo,bush1247
Austronesian,bush1248
Austronesian,bush1249
Austronesian,bush1250
Atlantic-Congo,bush1251
Atlantic-Congo,busi1239
Austronesian,buso1238
Bookkeeping,buso1242
Afro-Asiatic,buss1239
Atlantic-Congo,busu1243
Atlantic-Congo,busu1244
Austronesian,busu1245
Taulil-Butam,buta1242
Austronesian,butb1235
Mongolic,bute1242
Atlantic-Congo,bute1243
Pidgin,butl1235
Austronesian,butm1237
Austronesian,buto1237
Sino-Tibetan,butu1242
Austronesian,butu1243
Austronesian,butu1244
Atlantic-Congo,buuu1244
Angan,buuu1245
Eastern Jebel,buwa1239
Afro-Asiatic,buwa1243
Afro-Asiatic,buwa1244
Austronesian,buwe1237
Afro-Asiatic,buxa1234
Bookkeeping,buxi1237
Tai-Kadai,buya1244
Bookkeeping,buya1245
Mande,buya1246
Sino-Tibetan,buyu1238
Atlantic-Congo,buyu1239
Atlantic-Congo,buyu1240
Mongolic,buza1239
Atlantic-Congo,buzi1238
Atlantic-Congo,bver1238
Atlantic-Congo,bvum1238
Atlantic-Congo,bwaa1238
Austronesian,bwai1241
Austronesian,bwai1242
Austronesian,bwai1243
Austronesian,bwai1244
Atlantic-Congo,bwak1244
Atlantic-Congo,bwak1245
Austronesian,bwak1246
Atlantic-Congo,bwam1247
Atlantic-Congo,bwam1248
Atlantic-Congo,bwam1249
Atlantic-Congo,bwan1240
Austronesian,bwan1241
Nuclear Trans New Guinea,bwan1242
Austronesian,bwat1239
Austronesian,bwat1240
Atlantic-Congo,bwaz1238
Sino-Tibetan,bwek1238
Atlantic-Congo,bwek1239
Atlantic-Congo,bwel1238
Atlantic-Congo,bwen1238
Austronesian,bwen1239
Atlantic-Congo,bwil1244
Atlantic-Congo,bwil1245
Atlantic-Congo,bwir1238
Atlantic-Congo,bwis1241
Atlantic-Congo,bwis1242
Afro-Asiatic,bwol1240
Sino-Tibetan,byab1238
Sino-Tibetan,byan1241
Atlantic-Congo,byep1241
Abkhaz-Adyge,bzyb1238
Atlantic-Congo,caaa1238
Austronesian,caac1237
Chibchan,cabe1245
Arawakan,cabi1241
Unclassifiable,cabi1242
Misumalpan,cabo1236
Misumalpan,caca1247
Pano-Tacanan,caca1248
Pano-Tacanan,caca1249
Otomanguean,caca1250
Austronesian,cacg1235
Indo-European,cach1242
Quechuan,cacr1238
Kakua-Nukak,cacu1241
NA,cadd1255
Caddoan,cadd1256
Indo-European,cado1235
Indo-European,cafu1238
Indo-European,caga1240
Austronesian,caga1241
Austronesian,caga1242
Atlantic-Congo,cage1238
Bookkeeping,cagu1236
Uto-Aztecan,cahi1243
Uto-Aztecan,cahu1263
Uto-Aztecan,cahu1264
NA,cahu1265
Cahuapanan,cahu1266
Zaparoan,cahu1267
Zaparoan,cahu1268
Atlantic-Congo,caia1239
Sino-Tibetan,caij1234
Sino-Tibetan,caij1235
Quechuan,cail1238
Afro-Asiatic,cair1238
Quechuan,caja1238
Quechuan,caja1239
Otomanguean,cajo1238
Indo-European,caju1236
Atlantic-Congo,caka1240
Mixed Language,cakc1235
Mayan,cakc1244
Mixed Language,cakc1245
Afro-Asiatic,cakf1236
Austronesian,cakk1237
Sino-Tibetan,cakk1238
Indo-European,cala1254
Indo-European,cala1255
Austronesian,cala1256
Austronesian,cala1257
Austronesian,cala1258
Unclassifiable,calc1235
Sign Language,calc1236
Quechuan,cald1236
Athabaskan-Eyak-Tlingit,cali1245
Uto-Aztecan,cali1246
Mixed Language,call1235
Bookkeeping,calo1235
Mixed Language,calo1236
Austronesian,calu1238
Unclassifiable,calu1239
Atlantic-Congo,cama1248
Atlantic-Congo,cama1249
Austronesian,cama1250
Cariban,cama1251
Cariban,cama1252
Indo-European,camb1242
Austronesian,camb1243
Sign Language,camb1244
Atlantic-Congo,camb1245
Indo-European,came1248
Austroasiatic,came1250
Pama-Nyungan,came1251
Atlantic-Congo,came1252
Indo-European,came1254
Atlantic-Congo,came1255
Sino-Tibetan,caml1239
Austroasiatic,camo1249
Atlantic-Congo,camo1250
Austronesian,camo1251
Mixe-Zoque,camo1252
Indo-European,camp1260
Indo-European,camp1261
Austronesian,camp1262
NA,cams1241
Mixed Language,camt1236
Unclassifiable,camu1235
Indo-European,cana1258
Barbacoan,cana1260
Quechuan,cana1261
Quechuan,cana1262
Afro-Asiatic,cana1267
Indo-European,cana1268
NA,cand1248
Otomanguean,cand1249
Nuclear-Macro-Je,cane1242
Atlantic-Congo,cang1245
Atlantic-Congo,cang1246
NA,cani1243
Cariban,cano1239
Atlantic-Congo,cans1238
Sino-Tibetan,cant1236
Austronesian,cant1244
Indo-European,cant1245
Tai-Kadai,caol1238
Tai-Kadai,caom1238
Pano-Tacanan,capa1241
Indo-European,cape1241
Austronesian,capi1239
Austronesian,capi1240
Nuclear-Macro-Je,capo1236
Indo-European,capp1239
Arawakan,caqu1242
Unclassifiable,cara1245
Khoe-Kwadi,cara1246
Atlantic-Congo,cara1270
Chocoan,cara1271
Tucanoan,cara1272
Indo-European,carg1238
Indo-European,cari1274
Indo-European,cari1275
Austronesian,cari1276
Eskimo-Aleut,cari1277
Cariban,cari1279
Arawakan,cari1280
Arawakan,cari1281
NA,cari1283
Indo-European,cari1284
Unattested,cari1285
Indo-European,carn1239
Austroasiatic,carn1240
Austronesian,caro1242
Algic,caro1243
Indo-European,carp1235
Athabaskan-Eyak-Tlingit,carr1248
Athabaskan-Eyak-Tlingit,carr1249
Bookkeeping,caru1240
Pano-Tacanan,cash1251
Pano-Tacanan,cash1252
Pano-Tacanan,cash1253
Pano-Tacanan,cash1254
Austronesian,casi1235
Pama-Nyungan,casi1237
Indo-European,casp1236
Mixed Language,casp1241
Indo-European,cast1243
Indo-European,cast1244
Indo-European,cast1245
Nuclear Trans New Guinea,casu1237
Sign Language,cata1241
Mixed Language,cata1279
Bookkeeping,cata1284
Siouan,cata1285
Siouan,cata1286
Sign Language,cata1287
Quechuan,cata1288
Unclassifiable,catu1242
Bookkeeping,cauc1241
Indo-European,cauc1242
Sino-Tibetan,cauh1234
Atlantic-Congo,caun1238
Aymaran,cauq1239
Chukotko-Kamchatkan,cavc1238
Pano-Tacanan,cavi1250
Indo-European,cavi1254
Turkic,cawd1238
Barbacoan,caya1244
Quechuan,cayl1238
Atlantic-Congo,cayo1238
NA,cayu1241
Iroquoian,cayu1261
NA,cayu1262
Atlantic-Congo,ceba1235
Austronesian,cebu1242
Austronesian,cebu1243
Atlantic-Congo,ceem1238
Atlantic-Congo,cele1241
Austronesian,cele1242
Indo-European,cell1238
Indo-European,celt1247
Indo-European,celt1248
Austronesian,cemu1238
Austronesian,cend1238
Central Sudanic,ceng1238
Atlantic-Congo,cenn1238
Atlantic-Congo,cenn1239
Indo-European,cent1317
Hmong-Mien,cent1394
Totonacan,cent1397
Uralic,cent1812
Indo-European,cent1953
Indo-European,cent1954
Indo-European,cent1955
Indo-European,cent1956
Indo-European,cent1957
Indo-European,cent1959
Indo-European,cent1960
Indo-European,cent1961
Indo-European,cent1963
Indo-European,cent1967
Indo-European,cent1970
Indo-European,cent1972
Indo-European,cent1973
Indo-European,cent1974
Indo-European,cent1975
Indo-European,cent1976
Indo-European,cent1977
Indo-European,cent1978
Indo-European,cent1979
Indo-European,cent1980
Indo-European,cent1981
Indo-European,cent1982
Indo-European,cent1983
Indo-European,cent1984
Uralic,cent1985
Austroasiatic,cent1987
Austroasiatic,cent1988
Austroasiatic,cent1989
Austroasiatic,cent1990
Austroasiatic,cent1991
Austroasiatic,cent1992
Turkic,cent1993
Turkic,cent1994
Turkic,cent1995
Turkic,cent1996
Dravidian,cent1998
Sino-Tibetan,cent1999
Sino-Tibetan,cent2001
Sino-Tibetan,cent2002
Sino-Tibetan,cent2003
Sino-Tibetan,cent2004
Sino-Tibetan,cent2005
Sino-Tibetan,cent2007
Tai-Kadai,cent2009
Tai-Kadai,cent2011
Tai-Kadai,cent2012
Hmong-Mien,cent2013
Pama-Nyungan,cent2015
Pama-Nyungan,cent2016
Atlantic-Congo,cent2017
Atlantic-Congo,cent2018
Atlantic-Congo,cent2020
Atlantic-Congo,cent2021
Atlantic-Congo,cent2022
Atlantic-Congo,cent2024
Atlantic-Congo,cent2025
Atlantic-Congo,cent2027
Atlantic-Congo,cent2028
Atlantic-Congo,cent2029
Atlantic-Congo,cent2030
Atlantic-Congo,cent2032
Atlantic-Congo,cent2033
Atlantic-Congo,cent2034
Atlantic-Congo,cent2035
Atlantic-Congo,cent2036
Atlantic-Congo,cent2037
Atlantic-Congo,cent2039
Atlantic-Congo,cent2040
Atlantic-Congo,cent2041
Central Sudanic,cent2043
Central Sudanic,cent2044
NA,cent2045
Ta-Ne-Omotic,cent2046
Mande,cent2047
Mande,cent2048
Heibanic,cent2049
Saharan,cent2050
Khoe-Kwadi,cent2051
Yawa-Saweru,cent2052
Austronesian,cent2053
Austronesian,cent2058
Austronesian,cent2060
Austronesian,cent2061
Austronesian,cent2062
Austronesian,cent2063
Austronesian,cent2064
Austronesian,cent2065
Austronesian,cent2066
Austronesian,cent2067
Austronesian,cent2068
Austronesian,cent2069
Austronesian,cent2070
Austronesian,cent2072
Austronesian,cent2073
Austronesian,cent2074
Austronesian,cent2076
Austronesian,cent2077
Austronesian,cent2078
Austronesian,cent2079
Austronesian,cent2080
Austronesian,cent2081
Austronesian,cent2084
Austronesian,cent2087
Austronesian,cent2088
Austronesian,cent2089
Austronesian,cent2090
Austronesian,cent2091
Austronesian,cent2092
Austronesian,cent2094
Austronesian,cent2097
Austronesian,cent2098
Austronesian,cent2100
Austronesian,cent2101
Austronesian,cent2102
Austronesian,cent2103
Austronesian,cent2104
Austronesian,cent2105
Austronesian,cent2106
Sepik,cent2108
Nuclear Torricelli,cent2109
Lakes Plain,cent2110
Nuclear Trans New Guinea,cent2111
Nuclear Trans New Guinea,cent2112
Nuclear Trans New Guinea,cent2113
Nuclear Trans New Guinea,cent2114
Nuclear Trans New Guinea,cent2116
Nuclear Trans New Guinea,cent2117
Nuclear Trans New Guinea,cent2118
Nuclear Trans New Guinea,cent2119
Nuclear Trans New Guinea,cent2120
Nuclear Trans New Guinea,cent2121
Piawi,cent2122
Sentanic,cent2123
Goilalan,cent2124
Ndu,cent2125
Japonic,cent2126
Eskimo-Aleut,cent2127
Eskimo-Aleut,cent2128
Salishan,cent2129
Uto-Aztecan,cent2130
Uto-Aztecan,cent2131
Uto-Aztecan,cent2132
Uto-Aztecan,cent2133
Uto-Aztecan,cent2134
Algic,cent2135
Algic,cent2136
Yana,cent2137
Pomoan,cent2138
Chumashan,cent2139
Miwok-Costanoan,cent2140
Quechuan,cent2141
Aymaran,cent2142
Nuclear-Macro-Je,cent2143
Otomanguean,cent2144
Otomanguean,cent2145
Otomanguean,cent2146
Chibchan,cent2150
Afro-Asiatic,cent2187
Afro-Asiatic,cent2188
Afro-Asiatic,cent2189
Afro-Asiatic,cent2190
Afro-Asiatic,cent2192
Afro-Asiatic,cent2193
Afro-Asiatic,cent2194
Afro-Asiatic,cent2195
Afro-Asiatic,cent2214
Afro-Asiatic,cent2215
Afro-Asiatic,cent2217
Afro-Asiatic,cent2218
Afro-Asiatic,cent2224
NA,cent2225
Arawakan,cent2226
Dravidian,cent2227
Iwaidjan Proper,cent2228
Kadugli-Krongo,cent2229
Atlantic-Congo,cent2230
Gunwinyguan,cent2231
Nubian,cent2232
Nuclear Trans New Guinea,cent2233
Sepik,cent2234
Tungusic,cent2235
Afro-Asiatic,cent2236
Austronesian,cent2237
Nuclear Torricelli,cent2238
Uralic,cent2240
Atlantic-Congo,cent2241
Atlantic-Congo,cent2242
Atlantic-Congo,cent2243
Atlantic-Congo,cent2244
Austronesian,cent2245
Austronesian,cent2246
Nuclear Trans New Guinea,cent2247
Pama-Nyungan,cent2248
Sino-Tibetan,cent2250
Tai-Kadai,cent2251
Algic,cent2252
Atlantic-Congo,cent2253
Austronesian,cent2254
Austronesian,cent2255
Nuclear Trans New Guinea,cent2257
Uto-Aztecan,cent2258
Atlantic-Congo,cent2259
Atlantic-Congo,cent2260
Atlantic-Congo,cent2261
Atlantic-Congo,cent2262
Austronesian,cent2263
Indo-European,cent2264
Indo-European,cent2265
Otomanguean,cent2266
Atlantic-Congo,cent2267
Atlantic-Congo,cent2268
Austronesian,cent2269
Austronesian,cent2270
Austronesian,cent2271
Austronesian,cent2272
Austronesian,cent2273
Atlantic-Congo,cent2274
Atlantic-Congo,cent2275
Austronesian,cent2276
Austronesian,cent2277
Atlantic-Congo,cent2279
Austronesian,cent2280
Austronesian,cent2282
Indo-European,cent2283
Atlantic-Congo,cent2284
Atlantic-Congo,cent2285
Atlantic-Congo,cent2286
Atlantic-Congo,cent2287
Atlantic-Congo,cent2288
Austronesian,cent2289
Austronesian,cent2290
Atlantic-Congo,cent2291
Austronesian,cent2292
Nilotic,cent2293
Austronesian,cent2296
Sino-Tibetan,cent2297
Austronesian,cent2298
Austronesian,cent2299
Kxa,cent2300
Otomanguean,cent2301
Afro-Asiatic,cent2302
Afro-Asiatic,cent2303
Mixed Language,cent2304
Austroasiatic,cent2305
Sign Language,cent2306
Austronesian,cent2307
Austronesian,cent2308
Austronesian,cent2309
Atlantic-Congo,cent2310
Sino-Tibetan,cent2311
Atlantic-Congo,cent2312
Atlantic-Congo,cent2313
Austroasiatic,cent2314
Austronesian,cent2315
Austronesian,cent2316
Indo-European,cent2317
Indo-European,cent2318
Sign Language,cent2319
Uralic,cent2320
Atlantic-Congo,cent2321
Uralic,cent2322
Afro-Asiatic,cent2323
Turkic,cent2326
Japonic,cent2327
Uralic,cent2328
Uralic,cent2329
Sino-Tibetan,cent2330
Austronesian,cent2331
Anim,cent2332
Afro-Asiatic,cent2333
Afro-Asiatic,cent2334
Uralic,cent2335
Austronesian,cent2336
Pama-Nyungan,cent2337
Afro-Asiatic,cent2338
Indo-European,cent2339
Indo-European,cent2340
Indo-European,cent2341
Indo-European,cent2342
Indo-European,cent2343
Indo-European,cent2344
Indo-European,cent2345
Sino-Tibetan,cent2346
Sino-Tibetan,cent2347
Central Sudanic,cent2348
Central Sudanic,cent2349
Indo-European,cent2352
Indo-European,cent2353
Indo-European,cent2354
Atlantic-Congo,cepp1238
Atlantic-Congo,cerm1238
Totonacan,cerr1235
Heibanic,ceru1238
Atlantic-Congo,chaa1238
Sino-Tibetan,chab1239
Barbacoan,chac1249
Quechuan,chac1250
Pano-Tacanan,chac1251
Guaicuruan,chac1252
Unclassifiable,chac1253
Sign Language,chad1238
Tai-Kadai,chad1240
Afro-Asiatic,chad1249
Afro-Asiatic,chad1250
Sino-Tibetan,chae1235
Turkic,chag1247
Atlantic-Congo,chag1248
Atlantic-Congo,chag1250
Mongolic,chah1241
Atlantic-Congo,chah1242
Afro-Asiatic,chah1248
Austroasiatic,chai1235
Indo-European,chai1251
Surmic,chai1252
Cariban,chai1253
Sino-Tibetan,chai1254
Mixed Language,chak1245
Indo-European,chak1265
Indo-European,chak1266
Sino-Tibetan,chak1267
Sino-Tibetan,chak1268
Sino-Tibetan,chak1270
Atlantic-Congo,chak1271
Atlantic-Congo,chak1272
Atlantic-Congo,chak1273
Atlantic-Congo,chak1274
Afro-Asiatic,chak1275
Afro-Asiatic,chak1276
Indo-European,chal1263
Austroasiatic,chal1264
Austroasiatic,chal1265
Sino-Tibetan,chal1266
Sino-Tibetan,chal1267
Koman,chal1268
Atlantic-Congo,chal1269
Miwok-Costanoan,chal1270
Afro-Asiatic,chal1275
Indo-European,cham1307
Sino-Tibetan,cham1308
Nakh-Daghestanian,cham1309
Hmong-Mien,cham1310
Nilotic,cham1311
Austronesian,cham1312
Lower Sepik-Ramu,cham1313
Pano-Tacanan,cham1314
Zamucoan,cham1315
Zamucoan,cham1316
Arawakan,cham1317
Arawakan,cham1318
Austronesian,cham1327
Austronesian,cham1328
Bookkeeping,cham1329
Austronesian,cham1330
Indo-European,cham1331
Indo-European,cham1332
Sino-Tibetan,cham1333
Mixed Language,chan1289
Charruan,chan1296
Indo-European,chan1306
Indo-European,chan1307
Austroasiatic,chan1308
Sino-Tibetan,chan1309
Sino-Tibetan,chan1310
Sino-Tibetan,chan1311
Sino-Tibetan,chan1312
Sino-Tibetan,chan1313
Sino-Tibetan,chan1314
Sino-Tibetan,chan1315
Sino-Tibetan,chan1316
Sino-Tibetan,chan1317
Atlantic-Congo,chan1318
Yuat,chan1319
Mayan,chan1320
Pano-Tacanan,chan1321
Arawakan,chan1322
Chibchan,chan1324
Sino-Tibetan,chan1325
Sino-Tibetan,chan1326
Indo-European,chan1327
Sino-Tibetan,chao1238
Sino-Tibetan,chao1239
Mixe-Zoque,chap1265
Chapacuran,chap1269
Candoshi-Shapra,chap1270
NA,chap1271
NA,char1238
Charruan,char1240
Indo-European,char1266
Indo-European,char1267
Ta-Ne-Omotic,char1269
Quechuan,char1270
Afro-Asiatic,char1283
Indo-European,char1284
Sino-Tibetan,chas1234
Sino-Tibetan,chat1267
Otomanguean,chat1268
Sign Language,chat1269
Indo-European,chau1257
Austroasiatic,chau1258
Sino-Tibetan,chau1259
Sino-Tibetan,chau1260
Chukotko-Kamchatkan,chau1261
Bookkeeping,chau1262
Indo-European,chav1241
Atlantic-Congo,chaw1244
Cahuapanan,chay1248
Otomanguean,chay1249
Sino-Tibetan,chay1250
Otomanguean,chaz1235
Nakh-Daghestanian,chec1244
Nakh-Daghestanian,chec1245
Atlantic-Congo,ched1238
Atlantic-Congo,chee1238
Koreanic,chej1238
Austronesian,chek1238
Indo-European,chel1241
Uto-Aztecan,chem1251
Dravidian,chen1255
Sino-Tibetan,chen1256
Tungusic,chen1257
Sepik,chen1259
Afro-Asiatic,chen1265
Afro-Asiatic,chen1266
Sino-Tibetan,chen1267
Sino-Tibetan,chen1268
Sino-Tibetan,chen1269
Sino-Tibetan,chep1243
Sino-Tibetan,chep1244
Sino-Tibetan,chep1245
Austroasiatic,cher1270
Atlantic-Congo,cher1271
Atlantic-Congo,cher1272
Iroquoian,cher1273
Sino-Tibetan,ches1238
Bookkeeping,chet1237
Austroasiatic,chew1245
Atlantic-Congo,chew1246
Algic,chey1247
Indo-European,chha1248
Indo-European,chha1249
Indo-European,chha1250
Sino-Tibetan,chha1251
Indo-European,chhi1243
Dravidian,chhi1244
Sino-Tibetan,chhi1245
Unclassifiable,chho1235
Sino-Tibetan,chhu1238
Sign Language,chia1237
Hmong-Mien,chia1260
Mixe-Zoque,chia1261
Otomanguean,chia1262
Indo-European,chib1247
Japonic,chib1248
NA,chib1249
Chibchan,chib1269
Chibchan,chib1270
Turkic,chib1271
Japonic,chic1269
Muskogean,chic1270
Mayan,chic1271
Otomanguean,chic1272
Otomanguean,chic1273
Otomanguean,chic1274
Atlantic-Congo,chig1238
Otomanguean,chig1239
Uto-Aztecan,chih1238
Tai-Kadai,chii1238
Atlantic-Congo,chik1249
Atlantic-Congo,chik1250
Japonic,chik1251
Japonic,chik1252
Afro-Asiatic,chik1255
Pidgin,chil1261
Sign Language,chil1264
Indo-European,chil1275
Indo-European,chil1276
Indo-European,chil1277
Austroasiatic,chil1278
Austroasiatic,chil1279
Athabaskan-Eyak-Tlingit,chil1280
Salishan,chil1281
Otomanguean,chil1282
Bookkeeping,chil1283
Sign Language,chil1284
Indo-European,chim1297
Austronesian,chim1298
Koiarian,chim1299
Mixe-Zoque,chim1300
NA,chim1301
Quechuan,chim1302
Chibchan,chim1309
Chimakuan,chim1310
NA,chim1311
Atlantic-Congo,chim1312
Pidgin,chin1253
Chinookan,chin1272
Sign Language,chin1283
Chinookan,chin1286
Tai-Kadai,chin1463
Indo-European,chin1474
Indo-European,chin1475
Mongolic,chin1476
Sino-Tibetan,chin1477
Sino-Tibetan,chin1478
Sino-Tibetan,chin1479
Sino-Tibetan,chin1480
Atlantic-Congo,chin1481
Uto-Aztecan,chin1482
Quechuan,chin1483
Otomanguean,chin1484
Otomanguean,chin1485
Otomanguean,chin1486
Otomanguean,chin1487
Otomanguean,chin1488
Otomanguean,chin1489
NA,chin1490
Pidgin,chin1492
Indo-European,chin1493
Bookkeeping,chip1236
Algic,chip1241
Atlantic-Congo,chip1260
Athabaskan-Eyak-Tlingit,chip1261
Uru-Chipaya,chip1262
NA,chiq1248
Quechuan,chiq1249
Otomanguean,chiq1250
Indo-European,chir1281
Sino-Tibetan,chir1282
Sino-Tibetan,chir1283
Nakh-Daghestanian,chir1284
Kadugli-Krongo,chir1285
Tupian,chir1286
Guahiboan,chir1287
Guahiboan,chir1288
Chibchan,chir1293
Pano-Tacanan,chir1294
Tupian,chir1295
Sign Language,chir1296
Candoshi-Shapra,chir1297
Sino-Tibetan,chis1241
Atlantic-Congo,chis1242
NA,chit1248
Indo-European,chit1274
Indo-European,chit1275
Indo-European,chit1277
Indo-European,chit1278
Sino-Tibetan,chit1279
Sino-Tibetan,chit1280
Atlantic-Congo,chit1281
Atlantic-Congo,chit1282
Japonic,chit1283
Pano-Tacanan,chit1284
Bookkeeping,chit1285
Otomanguean,choa1237
Sino-Tibetan,choc1275
Muskogean,choc1276
Otomanguean,choc1278
Otomanguean,choc1279
NA,choc1280
Pidgin,choc1282
Unattested,choc1284
Indo-European,chod1238
Sino-Tibetan,chog1238
Sino-Tibetan,choh1239
Sino-Tibetan,choi1241
Austronesian,choi1242
Sino-Tibetan,chok1243
Atlantic-Congo,chok1244
Atlantic-Congo,chok1245
Atlantic-Congo,chok1246
Atlantic-Congo,chok1247
Atlantic-Congo,chok1248
Sino-Tibetan,chol1277
Koreanic,chol1278
Mayan,chol1281
Mayan,chol1282
Mayan,chol1283
Hibito-Cholon,chol1284
Bookkeeping,chol1285
Mayan,chol1286
Mayan,chol1287
NA,chon1248
Austroasiatic,chon1284
Sino-Tibetan,chon1285
Sino-Tibetan,chon1286
Atlantic-Congo,chon1287
NA,chon1288
Sino-Tibetan,chon1289
Atlantic-Congo,chop1242
Atlantic-Congo,chop1243
Atlantic-Congo,chor1271
Mayan,chor1272
Mayan,chor1273
Matacoan,chor1274
Bookkeeping,chor1275
Sino-Tibetan,chor1276
Sino-Tibetan,chos1238
Sino-Tibetan,chot1239
